,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
737,Sleeping Dogs: Definitive Edition,10-Oct-14,"['Square Enix', 'United Front Games']",3.8,250,250,"['Adventure', 'Brawler', 'Racing', 'Shooter']",2600,64,967,213,United Front Games,Square Enix,2014,Oct,AAA,Adventure,Brawler,Racing,Shooter,,,0.2,0.1,,0.09,0.02,"['PS4', 'XOne']"
743,Fallout 3: Game of the Year Edition,13-Oct-09,"['Bethesda Game Studios', 'Bethesda Softworks']",3.6,188,188,"['Adventure', 'RPG', 'Shooter']",2600,67,694,123,Bethesda Softworks,Bethesda Softworks,2009,Oct,AAA,Adventure,RPG,Shooter,,,,,,,,,"['PC', 'PS3', 'X360']"
751,Donkey Kong Country: Tropical Freeze,4-May-18,"['Nintendo', 'Retro Studios']",4.2,373,373,['Platform'],2100,91,741,500,Retro Studios,Nintendo,2018,May,AAA,Platform,,,,,,,,,,,['NS']
752,Fire Emblem: Thracia 776,1-Sep-99,"['Intelligent Systems Co., Ltd.', 'Nintendo']",4.1,329,329,"['RPG', 'Strategy', 'Tactical']",820,65,771,329,Intelligent Systems,Nintendo,1999,Sep,AAA,RPG,Strategy,Tactical,,,,0.26,,0.26,,,['SNES']
753,Moonlighter,29-May-18,"['Digital Sun Games', '11 bit studios']",3.2,280,280,"['Adventure', 'Brawler', 'Indie', 'RPG', 'Simulator']",2200,134,1.2K,309,Digital Sun,11 bit studios,2018,May,Indie,Adventure,Brawler,Indie,RPG,Simulator,,,,,,,"['NS', 'PS4', 'XOne', 'PC']"
754,Pikmin 3,13-Jul-13,"['Nintendo EAD Software Development Group No.4', 'Nintendo']",4,388,388,"['Adventure', 'Real Time Strategy']",2700,39,797,385,Nintendo EAD,Nintendo,2013,Jul,AAA,Adventure,Real Time Strategy,,,,,,,,,,['WiiU']
755,Five Nights at Freddy's 4,23-Jul-15,"['Scottgames', 'Clickteam']",2.8,199,199,"['Adventure', 'Indie', 'Point-and-Click', 'Simulator', 'Strategy']",3300,13,216,111,Scott Cawthon,Scott Cawthon,2015,Jul,Indie,Adventure,Indie,Point-and-Click,Simulator,Strategy,,,,,,,['PC']
759,Crysis,13-Nov-07,"['Crytek Frankfurt', 'Electronic Arts']",3.2,224,224,"['Adventure', 'Shooter']",3000,26,561,241,Crytek,Electronic Arts,2007,Nov,AAA,Adventure,Shooter,,,,,,,,,,"['Series', 'PC']"
760,Fallout Shelter,14-Jun-15,"['Bethesda Game Studios', 'Bethesda Softworks']",2.4,172,172,"['RPG', 'Simulator', 'Strategy']",5300,44,214,38,Bethesda Softworks,Bethesda Softworks,2015,Jun,AAA,RPG,Simulator,Strategy,,,,,,,,,['And']
761,Sonic and the Secret Rings,20-Feb-07,"['Sega', 'Sonic Team']",1.9,362,362,['Platform'],3100,18,348,160,Sonic Team,Sega,2007,Feb,AAA,Platform,,,,,,,,,,,['Wii']
765,Animal Crossing,14-Dec-01,"['Nintendo', 'Nintendo EAD']",3.9,533,533,['Simulator'],3900,51,389,317,Nintendo EAD,Nintendo,2001,Dec,AAA,Simulator,,,,,,0.31,,0.26,,0.05,['N64']
771,World of Warcraft,23-Nov-04,['Blizzard Entertainment'],3.5,369,369,"['Adventure', 'RPG']",4500,115,139,74,Blizzard Entertainment,Blizzard Entertainment,2004,Nov,AAA,Adventure,RPG,,,,,,,,,,"['OSX', 'PC']"
775,Star Wars: The Force Unleashed II,26-Oct-10,['LucasArts'],2.8,242,242,"['Adventure', 'Brawler', 'RPG']",4100,18,597,268,LucasArts,LucasArts,2010,Oct,AAA,Adventure,Brawler,RPG,,,,0.03,0.03,,,0.0,"['PS3', 'X360', 'Wii', 'DS', 'PC']"
778,The Legend of Zelda: Breath of the Wild,3-Mar-17,"['Nintendo', 'Nintendo EPD Production Group No. 3']",4.4,4.3K,4300,"['Adventure', 'RPG']",30000,2.5K,5K,2.6K,Nintendo,Nintendo,2017,Mar,AAA,Adventure,RPG,,,,,,,,,,"['NS', 'WiiU']"
779,Undertale,15-Sep-15,"['tobyfox', '8-4']",4.2,3.5K,3500,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",28000,679,4.9K,1.8K,Toby Fox,Toby Fox,2015,Sep,Indie,Adventure,Indie,RPG,Turn Based Strategy,,,,,,,,['PC']
780,Hollow Knight,24-Feb-17,['Team Cherry'],4.4,3K,3000,"['Adventure', 'Indie', 'Platform']",21000,2.4K,8.3K,2.3K,Team Cherry,Team Cherry,2017,Feb,Indie,Adventure,Indie,Platform,,,,,,,,,"['Series', 'PC']"
781,Minecraft,18-Nov-11,['Mojang Studios'],4.3,2.3K,2300,"['Adventure', 'Simulator']",33000,1.8K,1.1K,230,Mojang,Mojang,2011,Nov,Indie,Adventure,Simulator,,,,,,,,,,"['iOS', 'And', 'Series']"
785,NieR: Automata,23-Feb-17,"['PlatinumGames', 'Square Enix']",4.3,2.9K,2900,"['Brawler', 'RPG']",18000,1.1K,6.2K,3.6K,PlatinumGames,Square Enix,2017,Feb,AAA,Brawler,RPG,,,,,,,,,,"['PS4', 'PC']"
789,Portal 2,18-Apr-11,"['Valve', 'Electronic Arts']",4.4,2.9K,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",29000,471,3.9K,1.2K,Valve Software,Valve,2011,Apr,AAA,Adventure,Platform,Puzzle,Shooter,,,1.71,0.83,0.02,0.62,0.24,"['PC', 'X360', 'PS3']"
790,Bloodborne,24-Mar-15,"['FromSoftware', 'Sony Computer Entertainment']",4.5,3.4K,3400,"['Adventure', 'RPG']",17000,1.1K,5.6K,3.3K,From Software,Sony Computer Entertainment,2015,Mar,AAA,Adventure,RPG,,,,,,,,,,['PS4']
791,Celeste,25-Jan-18,"['Extremely OK Games', 'Maddy Makes Games']",4.2,2.8K,2800,"['Adventure', 'Indie', 'Platform']",20000,1.2K,5.9K,2K,Matt Makes Games Inc.,Matt Makes Games Inc.,2018,Jan,Indie,Adventure,Indie,Platform,,,,,,,,,"['PS4', 'XOne', 'NS', 'PC']"
793,Red Dead Redemption 2,26-Oct-18,"['Take-Two Interactive', 'Rockstar Games']",4.4,2.9K,2900,"['Adventure', 'RPG', 'Shooter']",19000,1.7K,5.5K,2.9K,Rockstar Studios,Rockstar Games,2018,Oct,AAA,Adventure,RPG,Shooter,,,,5.77,3.76,,1.47,0.54,"['PS4', 'XOne']"
794,Portal,10-Oct-07,"['Valve', 'Electronic Arts']",4.1,2K,2000,"['Platform', 'Puzzle', 'Shooter']",28000,244,2.7K,1.1K,Valve,Valve,2007,Oct,AAA,Platform,Puzzle,Shooter,,,,,,,,,['Series']
795,Super Mario Odyssey,27-Oct-17,['Nintendo'],4.2,2.9K,2900,"['Adventure', 'Platform']",25000,710,2.9K,2K,Nintendo EPD,Nintendo,2017,Oct,AAA,Adventure,Platform,,,,,,,,,,['NS']
798,Metal Gear Rising: Revengeance,19-Feb-13,"['Konami', 'PlatinumGames']",4.1,2.1K,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",14000,492,4.2K,2K,PlatinumGames,Konami Digital Entertainment,2013,Feb,AAA,Adventure,Brawler,Shooter,Strategy,,,0.5,0.3,,0.15,0.05,"['PS3', 'X360']"
799,Grand Theft Auto V,17-Sep-13,"['Rockstar North', 'Rockstar Games']",3.8,2.1K,2100,"['Adventure', 'Shooter']",30000,829,3.2K,664,Rockstar North,Rockstar Games,2013,Sep,AAA,Adventure,Shooter,,,,,15.86,9.06,0.06,5.33,1.42,"['PS3', 'X360']"
800,Cyberpunk 2077,9-Dec-20,['CD Projekt RED'],3.3,1.5K,1500,"['Adventure', 'RPG', 'Shooter']",13000,1.5K,4.7K,2.9K,CD Projekt Red Studio,CD Projekt Red Studio,2020,Dec,AAA,Adventure,RPG,Shooter,,,,,,,,,"['PS4', 'PC', 'XOne']"
805,Marvel's Spider-Man,7-Sep-18,"['Insomniac Games', 'Sony Interactive Entertainment']",4.1,2.5K,2500,"['Adventure', 'Brawler']",21000,577,2.9K,2.2K,Insomniac Games,Sony Interactive Entertainment,2018,Sep,AAA,Adventure,Brawler,,,,,,,,,,['PS4']
806,Dark Souls III,24-Mar-16,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,2.4K,2400,"['Adventure', 'RPG']",19000,851,4.3K,2.2K,From Software,Bandai Namco Entertainment,2016,Mar,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
808,Super Mario 64,23-Jun-96,"['Nintendo', 'Nintendo EAD']",4.1,2.6K,2600,"['Adventure', 'Platform']",21000,463,2.5K,775,Nintendo EAD,Nintendo,1996,Jun,AAA,Adventure,Platform,,,,,,,,,,['N64']
809,Super Smash Bros. Ultimate,7-Dec-18,"['Sora', 'Nintendo']",4.1,2.5K,2500,"['Fighting', 'Platform']",25000,1.2K,1.1K,801,Bandai Namco Games,Nintendo,2018,Dec,AAA,Fighting,Platform,,,,,,,,,,['NS']
810,Cuphead,29-Sep-17,['Studio MDHR'],4.1,1.9K,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",18000,1.2K,4.5K,2.6K,Studio MDHR,Studio MDHR,2017,Sep,Indie,Arcade,Indie,Platform,Shooter,,,,,,,,"['PC', 'XOne', 'Series']"
811,Sekiro: Shadows Die Twice,22-Mar-19,"['FromSoftware', 'Activision']",4.4,2.3K,2300,"['Adventure', 'Brawler']",14000,919,4.8K,3.4K,From Software,Activision,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['PC', 'PS4', 'XOne']"
