,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
203,Metal Gear Solid V: Ground Zeroes,18-Mar-14,"['Konami', 'Kojima Productions']",3.3,650,650,"['Adventure', 'RPG', 'Shooter', 'Strategy']",9500,53,1.7K,549,Kojima Productions,Konami Digital Entertainment,2014,Mar,AAA,Adventure,RPG,Shooter,Strategy,,,0.14,0.06,0.01,0.05,0.01,"['PS4', 'PC', 'PS3', 'XOne', 'X360']"
205,Banjo-Kazooie,29-Jun-98,"['Microsoft Game Studios', 'Rare']",4,1.2K,1200,"['Adventure', 'Platform']",7400,205,2.1K,765,Rare Ltd.,Nintendo,1998,Jun,AAA,Adventure,Platform,,,,,,,,,,['N64']
206,Astro's Playroom,12-Nov-20,"['SIE Japan Studio', 'Sony Interactive Entertainment']",4,914,914,"['Adventure', 'Platform']",5700,82,358,249,ASOBI Team,Sony Interactive Entertainment,2020,Nov,AAA,Adventure,Platform,,,,,,,,,,['PS5']
207,Call of Duty: Black Ops II,12-Nov-12,"['Treyarch', 'Activision']",3.8,903,903,['Shooter'],13000,57,626,286,Treyarch,Activision,2012,Nov,AAA,Shooter,,,,,,0.42,0.2,,0.18,0.04,"['X360', 'PS3', 'PC', 'WiiU']"
210,Subnautica,23-Jan-18,"['Gearbox Publishing', 'Unknown Worlds Entertainment']",3.8,712,712,"['Adventure', 'Indie']",7200,335,2.9K,944,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2018,Jan,AAA,Adventure,Indie,,,,,0.07,0.06,,,0.01,"['Series', 'PC', 'PS4', 'XOne']"
212,New Super Mario Bros. Wii,12-Nov-09,"['Nintendo', 'Nintendo EAD']",3.5,859,859,"['Adventure', 'Platform']",13000,85,696,241,Nintendo EAD,Nintendo,2009,Nov,AAA,Adventure,Platform,,,,,,,,,,['Wii']
216,Wolfenstein: The New Order,20-May-14,"['MachineGames', 'Bethesda Softworks']",3.6,794,794,"['Adventure', 'Shooter']",8400,149,2.2K,722,MachineGames,Bethesda Softworks,2014,May,AAA,Adventure,Shooter,,,,,0.38,0.18,,0.17,0.03,"['PC', 'PS4', 'XOne', 'PS3', 'X360']"
218,BioShock 2,9-Feb-10,"['2K Marin', '2K Games']",3.6,687,687,"['Adventure', 'RPG', 'Shooter']",9100,103,3.3K,691,2K Marin,2K Games,2010,Feb,AAA,Adventure,RPG,Shooter,,,,1.55,0.85,0.02,0.46,0.22,"['X360', 'PC', 'PS3']"
220,Enter the Gungeon,5-Apr-16,"['Dodge Roll', 'Devolver Digital']",3.6,632,632,"['Adventure', 'Arcade', 'Indie', 'Shooter']",8900,403,2.4K,441,Dodge Roll,Devolver Digital,2016,Apr,Indie,Adventure,Arcade,Indie,Shooter,,,,,,,,"['PC', 'Linux', 'OSX', 'PS4']"
222,Shovel Knight,26-Jun-14,['Yacht Club Games'],4,761,761,"['Adventure', 'Indie', 'Platform']",8500,135,1.9K,1.2K,Yacht Club Games,Yacht Club Games,2014,Jun,Indie,Adventure,Indie,Platform,,,,,,,,,"['Series', 'PC', 'WiiU', 'Linux', 'OSX']"
223,Firewatch,9-Feb-16,"['Panic', 'Campo Santo']",3.7,926,926,"['Adventure', 'Indie']",7800,99,1.6K,1.2K,Campo Santo,Panic,2016,Feb,Indie,Adventure,Indie,,,,,,,,,,"['PS4', 'PC', 'OSX', 'Linux']"
224,Dark Souls II,11-Mar-14,"['FromSoftware', 'Bandai Namco Entertainment']",3.3,815,815,"['Adventure', 'RPG']",6700,128,1.4K,834,From Software,Bandai Namco Games,2014,Mar,AAA,Adventure,RPG,,,,,,,,,,['PC']
225,Blasphemous,10-Sep-19,"['The Game Kitchen', 'Team17']",3.7,647,647,"['Adventure', 'Brawler', 'Indie', 'Platform', 'RPG']",4200,399,2.6K,1K,The Game Kitchen,Team 17,2019,Sep,Indie,Adventure,Brawler,Indie,Platform,RPG,,,,,,,"['XOne', 'NS', 'PS4', 'PC']"
226,Final Fantasy XIV Online,27-Aug-13,['Square Enix'],3.7,643,643,"['Adventure', 'RPG', 'Strategy']",5900,1.1K,818,363,Square Enix,Square Enix,2013,Aug,AAA,Adventure,RPG,Strategy,,,,0.87,0.39,0.28,0.09,0.11,['PS3']
228,Resident Evil 6,2-Oct-12,['Capcom'],2.5,888,888,"['Adventure', 'Shooter']",7800,189,1.8K,552,Capcom,Capcom,2012,Oct,AAA,Adventure,Shooter,,,,,1.97,1.12,0.07,0.61,0.16,"['PS3', 'X360']"
229,Devil May Cry 3: Dante's Awakening,17-Feb-05,"['Capcom', 'Capcom Production Studio 1']",4.2,909,909,"['Adventure', 'Brawler', 'Shooter']",6100,116,1.6K,648,Capcom,Capcom,2005,Feb,AAA,Adventure,Brawler,Shooter,,,,,,,,,['PS2']
231,Super Meat Boy,20-Oct-10,"['BlitWorks', 'Team Meat']",3.5,605,605,"['Adventure', 'Indie', 'Platform']",10000,153,1.8K,501,Team Meat,Unknown,2010,Oct,Indie,Adventure,Indie,Platform,,,,,,,,,"['PC', 'XBL', 'Series']"
235,Crash Bandicoot N. Sane Trilogy,30-Jun-17,"['Activision', 'Vicarious Visions']",3.8,654,654,"['Adventure', 'Platform']",7700,364,2.6K,986,Vicarious Visions,Activision,2017,Jun,AAA,Adventure,Platform,,,,,4.83,1.09,0.07,2.92,0.74,['PS4']
236,Tetris,1-Nov-89,['Nintendo'],4.1,688,688,"['Arcade', 'Puzzle']",9600,54,175,66,Bullet Proof Software,Nintendo,1989,Nov,AAA,Arcade,Puzzle,,,,,,,,,,"['GB', 'NES']"
238,Super Mario 3D World,21-Nov-13,['Nintendo'],3.9,1.1K,1100,"['Adventure', 'Platform']",9600,93,787,432,Nintendo EAD Tokyo,Nintendo,2013,Nov,AAA,Adventure,Platform,,,,,,,,,,['WiiU']
239,Uncharted 3: Drake's Deception,1-Nov-11,"['Naughty Dog', 'Sony Computer Entertainment, Inc. (SCEI)']",3.6,941,941,"['Adventure', 'Platform', 'Shooter']",11000,60,1.5K,477,Naughty Dog,Sony Computer Entertainment,2011,Nov,AAA,Adventure,Platform,Shooter,,,,,,,,,['PS3']
242,Max Payne,23-Jul-01,"['Gathering of Developers', 'Remedy Entertainment']",3.9,786,786,['Shooter'],6300,102,1.5K,742,Remedy Entertainment,Rockstar Games,2001,Jul,AAA,Shooter,,,,,,0.02,,,0.02,0.0,"['PS2', 'XB', 'PC']"
243,Five Nights at Freddy's,8-Aug-14,"['Clickteam', 'Scottgames']",2.9,460,460,"['Adventure', 'Indie', 'Point-and-Click', 'Simulator', 'Strategy']",8400,46,393,166,Scott Cawthon,Scott Cawthon,2014,Aug,Indie,Adventure,Indie,Point-and-Click,Simulator,Strategy,,,,,,,['PC']
244,Donkey Kong Country 2: Diddy's Kong Quest,21-Nov-95,"['Nintendo', 'Rare']",4.2,1.2K,1200,"['Adventure', 'Platform']",6600,115,1.6K,455,Rare Ltd.,Nintendo,1995,Nov,AAA,Adventure,Platform,,,,,,,,,,['SNES']
249,Super Smash Bros. for Wii U,21-Nov-14,"['Sora', 'Nintendo']",3.5,684,684,"['Fighting', 'Platform']",11000,17,240,110,Bandai Namco Games,Nintendo,2014,Nov,AAA,Fighting,Platform,,,,,,,,,,['WiiU']
250,Kirby's Adventure,23-Mar-93,"['HAL Laboratory', 'Nintendo']",3.6,718,718,['Platform'],6000,61,690,217,HAL Laboratory,Nintendo,1993,Mar,AAA,Platform,,,,,,,,,,,['NES']
251,Tekken 7,18-Feb-15,"['Bandai Namco Entertainment', 'Bandai Namco Studios']",3.8,663,663,['Fighting'],6600,247,670,354,Bandai Namco Studios,Bandai Namco Entertainment,2015,Feb,AAA,Fighting,,,,,,,,,,,['Arc']
254,Superliminal,12-Nov-19,['Pillow Castle Games'],3.6,487,487,"['Adventure', 'Indie', 'Puzzle', 'Shooter']",3800,76,1K,917,Pillow Castle,Pillow Castle,2019,Nov,Indie,Adventure,Indie,Puzzle,Shooter,,,,,,,,['PC']
258,The Sims 4,2-Sep-14,"['Electronic Arts', 'The Sims Studio']",3,458,458,"['RPG', 'Simulator']",8300,434,667,110,Maxis,Electronic Arts,2014,Sep,AAA,RPG,Simulator,,,,,4.1,1.2,,2.6,0.3,['PC']
259,Far Cry 4,18-Nov-14,['Ubisoft Montreal'],3.2,558,558,"['Adventure', 'Shooter', 'Tactical']",8500,90,1.3K,442,Ubisoft Montreal,Ubisoft,2014,Nov,AAA,Adventure,Shooter,Tactical,,,,0.65,0.19,,0.41,0.05,"['PS4', 'XOne', 'PS3', 'X360', 'PC']"
260,Sonic Forces,7-Nov-17,"['Sega', 'Sonic Team']",1.9,650,650,"['Adventure', 'Platform', 'Strategy']",5000,42,723,212,Sonic Team,Sega,2017,Nov,AAA,Adventure,Platform,Strategy,,,,0.29,0.15,,0.11,0.03,"['NS', 'PS4', 'XOne']"
264,Super Smash Bros.,21-Jan-99,"['Nintendo', 'HAL Laboratory']",3.4,688,688,"['Fighting', 'Platform']",9800,20,279,207,Nintendo,Nintendo,1999,Jan,AAA,Fighting,Platform,,,,,,,,,,"['Series', 'N64']"
265,Super Mario 64 DS,21-Nov-04,"['Nintendo EAD', 'Nintendo']",3.6,614,614,"['Adventure', 'Platform']",9100,65,549,176,Nintendo EAD,Nintendo,2004,Nov,AAA,Adventure,Platform,,,,,,,,,,['DS']
266,Halo 4,6-Nov-12,"['343 Industries', 'Microsoft Studios']",3,674,674,['Shooter'],7600,57,1.2K,277,343 Industries,Microsoft Studios,2012,Nov,AAA,Shooter,,,,,,9.96,6.72,0.04,2.36,0.83,['X360']
268,Mega Man 2,2-Jun-89,['Capcom'],3.6,857,857,"['Adventure', 'Platform']",6100,34,542,163,Capcom,Capcom,1989,Jun,AAA,Adventure,Platform,,,,,,,,,,['NES']
269,Phoenix Wright: Ace Attorney Trilogy,17-Apr-14,['Capcom'],4.3,516,516,"['Adventure', 'Puzzle', 'Simulator', 'Visual Novel']",4000,644,1.9K,779,Capcom,Capcom,2014,Apr,AAA,Adventure,Puzzle,Simulator,Visual Novel,,,0.04,,0.04,,,"['3DS', '3DS']"
271,Star Wars: Knights of the Old Republic,15-Jul-03,"['BioWare', 'LucasArts']",4.2,839,839,"['Adventure', 'RPG']",5300,180,2.3K,705,BioWare,LucasArts,2003,Jul,AAA,Adventure,RPG,,,,,0.14,0.01,,0.11,0.02,"['Series', 'XB', 'PC']"
272,No More Heroes 2: Desperate Struggle,26-Jan-10,"['Ubisoft Entertainment', 'Grasshopper Manufacture']",3.5,608,608,"['Adventure', 'Brawler']",3200,68,1.5K,855,Grasshopper Manufacture,Ubisoft,2010,Jan,AAA,Adventure,Brawler,,,,,0.4,0.2,0.04,0.11,0.03,['Wii']
273,Kirby Super Star Ultra,22-Sep-08,"['Nintendo of Europe', 'HAL Laboratory']",4.3,743,743,"['Adventure', 'Platform']",5800,47,773,427,HAL Laboratory,Nintendo,2008,Sep,AAA,Adventure,Platform,,,,,,,,,,['DS']
275,Katamari Damacy,18-Mar-04,"['Namco', 'NOW Production']",4.2,939,939,"['Adventure', 'Puzzle']",4100,60,1K,761,Namco,Namco,2004,Mar,AAA,Adventure,Puzzle,,,,,0.73,0.47,0.17,0.02,0.08,['PS2']
278,Metroid: Samus Returns,15-Sep-17,"['MercurySteam', 'Nintendo']",3.6,674,674,"['Adventure', 'Platform']",3900,149,1.4K,686,Mercury Steam,Nintendo,2017,Sep,AAA,Adventure,Platform,,,,,0.56,0.3,0.07,0.15,0.05,['3DS']
282,Borderlands,20-Oct-09,"['2K Games', 'Gearbox Software']",3.1,484,484,"['RPG', 'Shooter']",9100,98,1.2K,450,Gearbox Software,2K Games,2009,Oct,AAA,RPG,Shooter,,,,,0.17,0.01,,0.14,0.03,"['Series', 'X360', 'PS3', 'PC']"
285,Shadow of the Tomb Raider,14-Sep-18,"['Eidos Montr̩al', 'Square Enix']",3.3,522,522,"['Adventure', 'Shooter']",4800,161,2.8K,701,Eidos Montreal,Square Enix,2018,Sep,AAA,Adventure,Shooter,,,,,,,,,,"['PS4', 'XOne', 'PC']"
286,Mario & Luigi: Bowser's Inside Story,14-Sep-09,"['Nintendo', 'AlphaDream']",4.2,837,837,"['Platform', 'RPG']",6600,95,1.5K,629,AlphaDream Corporation,Nintendo,2009,Sep,AAA,Platform,RPG,,,,,,,,,,['DS']
288,Watch Dogs 2,15-Nov-16,"['Ubisoft Montreal', 'Ubisoft Entertainment']",3.3,554,554,"['Adventure', 'Shooter']",6600,125,1.9K,453,Ubisoft Montreal,Ubisoft,2016,Nov,AAA,Adventure,Shooter,,,,,0.0,,,0.0,0.0,"['PS4', 'XOne', 'PC']"
289,Mass Effect 3,6-Mar-12,"['BioWare Edmonton', 'Electronic Arts']",3.7,777,777,"['Adventure', 'RPG', 'Shooter']",7300,79,1.5K,482,BioWare,Electronic Arts,2012,Mar,AAA,Adventure,RPG,Shooter,,,,0.28,0.14,,0.12,0.02,"['X360', 'PS3', 'PC', 'WiiU']"
290,Goat Simulator,1-Apr-14,['Coffee Stain Studios'],2.4,337,337,"['Adventure', 'Indie', 'Simulator']",8400,22,492,125,Coffee Stain Studios,Coffee Stain Studios,2014,Apr,Indie,Adventure,Indie,Simulator,,,,,,,,,['PC']
292,Far Cry 5,26-Mar-18,"['Ubisoft Entertainment', 'Ubisoft Montreal']",3,558,558,"['Adventure', 'Shooter']",6600,169,1.2K,470,Ubisoft,Ubisoft,2018,Mar,AAA,Adventure,Shooter,,,,,0.07,,,0.07,0.0,"['PS4', 'XOne', 'PC']"
293,Call of Duty: Modern Warfare 3,8-Nov-11,"['Sledgehammer Games', 'Activision']",3.2,587,587,"['Adventure', 'Shooter', 'Tactical']",10000,27,492,195,Infinity Ward,Activision,2011,Nov,AAA,Adventure,Shooter,Tactical,,,,0.83,0.55,,0.2,0.08,"['X360', 'PS3', 'PC', 'Wii']"
296,The Legend of Zelda: Twilight Princess,19-Nov-06,"['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.1,642,642,"['Adventure', 'RPG']",6000,82,1.1K,466,Nintendo EAD,Nintendo,2006,Nov,AAA,Adventure,RPG,,,,,,,,,,"['Wii', 'GC']"
301,Super Mario RPG: Legend of the Seven Stars,9-Mar-96,"['Square', 'Nintendo']",4,832,832,"['Adventure', 'Platform', 'RPG']",4400,133,2.3K,858,SquareSoft,Nintendo,1996,Mar,AAA,Adventure,Platform,RPG,,,,,,,,,['SNES']
302,Astral Chain,30-Aug-19,"['PlatinumGames', 'Nintendo']",3.6,568,568,"['Adventure', 'Brawler']",3600,210,2.3K,1.4K,PlatinumGames,Nintendo,2019,Aug,AAA,Adventure,Brawler,,,,,,,,,,['NS']
304,Dragon Age: Origins,3-Nov-09,"['Electronic Arts', 'BioWare']",4,712,712,['RPG'],6100,148,1.7K,534,BioWare,Electronic Arts,2009,Nov,AAA,RPG,,,,,,0.5,,,0.46,0.04,"['X360', 'PS3', 'PC']"
308,Super Mario Maker 2,28-Jun-19,"['Nintendo EPD', 'Nintendo']",3.7,689,689,['Platform'],6600,114,623,459,Nintendo,Nintendo,2019,Jun,AAA,Platform,,,,,,,,,,,['NS']
311,Sonic Colors,11-Nov-10,"['SEGA of America', 'Sonic Team']",3.4,609,609,"['Adventure', 'Platform']",5100,44,690,342,Sonic Team/Dimps Corporation,Sega,2010,Nov,AAA,Adventure,Platform,,,,,,,,,,"['Wii', 'DS']"
314,Battlefield 4,29-Oct-13,"['EA Digital Illusions CE', 'Electronic Arts']",3.5,431,431,['Shooter'],7100,72,506,124,EA DICE,Electronic Arts,2013,Oct,AAA,Shooter,,,,,,1.39,0.44,,0.85,0.1,"['PS4', 'PS3', 'X360', 'XOne', 'PC']"
315,Dragon Ball Z: Budokai Tenkaichi 3,4-Oct-07,"['Namco Bandai Games', 'Spike']",3.9,435,435,['Fighting'],6600,32,278,135,Spike / Bandai Namco Games,Atari,2007,Oct,AAA,Fighting,,,,,,1.03,0.32,0.26,0.36,0.08,"['PS2', 'Wii']"
317,Beyond: Two Souls,8-Oct-13,"['Quantic Dream', 'Sony Computer Entertainment']",2.7,433,433,['Adventure'],5400,52,1.1K,524,Quantic Dream,Sony Computer Entertainment,2013,Oct,AAA,Adventure,,,,,,1.7,0.52,0.06,0.86,0.26,['PS3']
321,The Evil Within 2,12-Oct-17,"['Tango Gameworks', 'Bethesda Softworks']",3.7,541,541,"['Adventure', 'RPG', 'Shooter']",2700,76,1.4K,634,Tango Gameworks,Bethesda Softworks,2017,Oct,AAA,Adventure,RPG,Shooter,,,,,,,,,"['PS4', 'XOne', 'PC']"
323,Sayonara Wild Hearts,19-Sep-19,"['Simogo', 'Annapurna Interactive']",3.9,725,725,"['Adventure', 'Arcade', 'Indie', 'Music']",3100,37,721,789,Simogo,Annapurna Interactive,2019,Sep,Indie,Adventure,Arcade,Indie,Music,,,,,,,,['NS']
328,The Legend of Zelda: Breath of the Wild,3-Mar-17,"['Nintendo', 'Nintendo EPD Production Group No. 3']",4.4,4.3K,4300,"['Adventure', 'RPG']",30000,2.5K,5K,2.6K,Nintendo,Nintendo,2017,Mar,AAA,Adventure,RPG,,,,,,,,,,"['NS', 'WiiU']"
329,Undertale,15-Sep-15,"['tobyfox', '8-4']",4.2,3.5K,3500,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",28000,679,4.9K,1.8K,Toby Fox,Toby Fox,2015,Sep,Indie,Adventure,Indie,RPG,Turn Based Strategy,,,,,,,,['PC']
330,Hollow Knight,24-Feb-17,['Team Cherry'],4.4,3K,3000,"['Adventure', 'Indie', 'Platform']",21000,2.4K,8.3K,2.3K,Team Cherry,Team Cherry,2017,Feb,Indie,Adventure,Indie,Platform,,,,,,,,,"['Series', 'PC']"
331,Minecraft,18-Nov-11,['Mojang Studios'],4.3,2.3K,2300,"['Adventure', 'Simulator']",33000,1.8K,1.1K,230,Mojang,Mojang,2011,Nov,Indie,Adventure,Simulator,,,,,,,,,,"['iOS', 'And', 'Series']"
335,NieR: Automata,23-Feb-17,"['PlatinumGames', 'Square Enix']",4.3,2.9K,2900,"['Brawler', 'RPG']",18000,1.1K,6.2K,3.6K,PlatinumGames,Square Enix,2017,Feb,AAA,Brawler,RPG,,,,,,,,,,"['PS4', 'PC']"
339,Portal 2,18-Apr-11,"['Valve', 'Electronic Arts']",4.4,2.9K,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",29000,471,3.9K,1.2K,Valve Software,Valve,2011,Apr,AAA,Adventure,Platform,Puzzle,Shooter,,,1.71,0.83,0.02,0.62,0.24,"['PC', 'X360', 'PS3']"
340,Bloodborne,24-Mar-15,"['FromSoftware', 'Sony Computer Entertainment']",4.5,3.4K,3400,"['Adventure', 'RPG']",17000,1.1K,5.6K,3.3K,From Software,Sony Computer Entertainment,2015,Mar,AAA,Adventure,RPG,,,,,,,,,,['PS4']
341,Celeste,25-Jan-18,"['Extremely OK Games', 'Maddy Makes Games']",4.2,2.8K,2800,"['Adventure', 'Indie', 'Platform']",20000,1.2K,5.9K,2K,Matt Makes Games Inc.,Matt Makes Games Inc.,2018,Jan,Indie,Adventure,Indie,Platform,,,,,,,,,"['PS4', 'XOne', 'NS', 'PC']"
343,Red Dead Redemption 2,26-Oct-18,"['Take-Two Interactive', 'Rockstar Games']",4.4,2.9K,2900,"['Adventure', 'RPG', 'Shooter']",19000,1.7K,5.5K,2.9K,Rockstar Studios,Rockstar Games,2018,Oct,AAA,Adventure,RPG,Shooter,,,,5.77,3.76,,1.47,0.54,"['PS4', 'XOne']"
344,Portal,10-Oct-07,"['Valve', 'Electronic Arts']",4.1,2K,2000,"['Platform', 'Puzzle', 'Shooter']",28000,244,2.7K,1.1K,Valve,Valve,2007,Oct,AAA,Platform,Puzzle,Shooter,,,,,,,,,['Series']
345,Super Mario Odyssey,27-Oct-17,['Nintendo'],4.2,2.9K,2900,"['Adventure', 'Platform']",25000,710,2.9K,2K,Nintendo EPD,Nintendo,2017,Oct,AAA,Adventure,Platform,,,,,,,,,,['NS']
348,Metal Gear Rising: Revengeance,19-Feb-13,"['Konami', 'PlatinumGames']",4.1,2.1K,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",14000,492,4.2K,2K,PlatinumGames,Konami Digital Entertainment,2013,Feb,AAA,Adventure,Brawler,Shooter,Strategy,,,0.5,0.3,,0.15,0.05,"['PS3', 'X360']"
349,Grand Theft Auto V,17-Sep-13,"['Rockstar North', 'Rockstar Games']",3.8,2.1K,2100,"['Adventure', 'Shooter']",30000,829,3.2K,664,Rockstar North,Rockstar Games,2013,Sep,AAA,Adventure,Shooter,,,,,15.86,9.06,0.06,5.33,1.42,"['PS3', 'X360']"
350,Cyberpunk 2077,9-Dec-20,['CD Projekt RED'],3.3,1.5K,1500,"['Adventure', 'RPG', 'Shooter']",13000,1.5K,4.7K,2.9K,CD Projekt Red Studio,CD Projekt Red Studio,2020,Dec,AAA,Adventure,RPG,Shooter,,,,,,,,,"['PS4', 'PC', 'XOne']"
355,Marvel's Spider-Man,7-Sep-18,"['Insomniac Games', 'Sony Interactive Entertainment']",4.1,2.5K,2500,"['Adventure', 'Brawler']",21000,577,2.9K,2.2K,Insomniac Games,Sony Interactive Entertainment,2018,Sep,AAA,Adventure,Brawler,,,,,,,,,,['PS4']
356,Dark Souls III,24-Mar-16,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,2.4K,2400,"['Adventure', 'RPG']",19000,851,4.3K,2.2K,From Software,Bandai Namco Entertainment,2016,Mar,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
358,Super Mario 64,23-Jun-96,"['Nintendo', 'Nintendo EAD']",4.1,2.6K,2600,"['Adventure', 'Platform']",21000,463,2.5K,775,Nintendo EAD,Nintendo,1996,Jun,AAA,Adventure,Platform,,,,,,,,,,['N64']
359,Super Smash Bros. Ultimate,7-Dec-18,"['Sora', 'Nintendo']",4.1,2.5K,2500,"['Fighting', 'Platform']",25000,1.2K,1.1K,801,Bandai Namco Games,Nintendo,2018,Dec,AAA,Fighting,Platform,,,,,,,,,,['NS']
360,Cuphead,29-Sep-17,['Studio MDHR'],4.1,1.9K,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",18000,1.2K,4.5K,2.6K,Studio MDHR,Studio MDHR,2017,Sep,Indie,Arcade,Indie,Platform,Shooter,,,,,,,,"['PC', 'XOne', 'Series']"
361,Sekiro: Shadows Die Twice,22-Mar-19,"['FromSoftware', 'Activision']",4.4,2.3K,2300,"['Adventure', 'Brawler']",14000,919,4.8K,3.4K,From Software,Activision,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['PC', 'PS4', 'XOne']"
362,Final Fantasy VII,31-Jan-97,"['Square', 'Eidos Interactive']",4.2,2.9K,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",15000,1.1K,5K,1.5K,Square,Sony Computer Entertainment,1997,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,,,,,,,['PS']
363,Persona 4 Golden,15-Jun-12,"['NIS America', 'Atlus']",4.2,1.9K,1900,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']",13000,1.5K,5.2K,2.2K,Atlus,Atlus,2012,Jun,AAA,Adventure,RPG,Simulator,Visual Novel,,,1.25,0.37,0.39,0.29,0.21,['PSV']
367,Super Mario Galaxy,1-Nov-07,"['Nintendo EAD', 'Nintendo']",4.3,2.7K,2700,"['Adventure', 'Platform']",21000,468,3.1K,1.2K,Nintendo EAD Tokyo,Nintendo,2007,Nov,AAA,Adventure,Platform,,,,,,,,,,['Wii']
368,Fallout: New Vegas,19-Oct-10,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",4.3,2K,2000,"['RPG', 'Shooter']",16000,756,5K,1.4K,Obsidian Entertainment,Bethesda Softworks,2010,Oct,AAA,RPG,Shooter,,,,,3.17,1.54,0.1,1.04,0.49,"['PC', 'X360', 'PS3']"
369,Outer Wilds,28-May-19,"['Mobius Digital', 'Annapurna Interactive']",4.6,1.8K,1800,"['Adventure', 'Indie', 'Puzzle', 'Simulator']",7700,661,4.8K,3.1K,Mobius Digital,Annapurna Interactive,2019,May,Indie,Adventure,Indie,Puzzle,Simulator,,,,,,,,"['PS4', 'XOne', 'PC']"
370,Resident Evil 2,25-Jan-19,"['Capcom', 'Capcom Development Division 1']",4.3,2.5K,2500,"['Adventure', 'Shooter']",15000,585,3.6K,1.9K,Capcom,Capcom,2019,Jan,AAA,Adventure,Shooter,,,,,,,,,,"['XOne', 'PS4', 'PC']"
374,Stardew Valley,26-Feb-16,"['ConcernedApe', 'Chucklefish Games']",4.1,1.7K,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",20000,2K,3.6K,1.1K,ConcernedApe,Chucklefish,2016,Feb,Indie,Indie,RPG,Simulator,Strategy,,,,,,,,"['Series', 'PC']"
376,Silent Hill 2,24-Sep-01,"['Team Silent', 'Konami']",4.5,2.2K,2200,"['Adventure', 'Puzzle']",8600,282,2.9K,2.1K,KCET,Konami,2001,Sep,AAA,Adventure,Puzzle,,,,,1.28,0.62,,0.49,0.16,['PS2']
377,The Witcher 3: Wild Hunt,19-May-15,"['WB Games', 'CD Projekt RED']",4.3,2K,2000,"['Adventure', 'RPG']",17000,1.2K,6.1K,1.6K,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,2015,May,AAA,Adventure,RPG,,,,,,,,,,"['PC', 'PS4', 'XOne']"
379,Doom Eternal,19-Mar-20,"['Bethesda Softworks', 'id Software']",4.2,1.9K,1900,['Shooter'],12000,738,4.6K,2.4K,id Software,Bethesda Softworks,2020,Mar,AAA,Shooter,,,,,,,,,,,"['PC', 'PS4', 'NS', 'XOne']"
380,The Elder Scrolls V: Skyrim,10-Nov-11,"['Bethesda Game Studios', 'Bethesda Softworks']",3.7,1.7K,1700,"['Adventure', 'RPG']",22000,589,3K,1K,Bethesda Game Studios,Bethesda Softworks,2011,Nov,AAA,Adventure,RPG,,,,,3.99,1.18,,2.25,0.56,"['X360', 'PS3', 'PC']"
382,Devil May Cry 5,8-Mar-19,"['Capcom', 'Capcom Development Division 1']",4.3,1.9K,1900,"['Adventure', 'Brawler']",12000,524,4.1K,2.4K,Capcom,Capcom,2019,Mar,AAA,Adventure,Brawler,,,,,,,,,,"['XOne', 'PC', 'PS4']"
384,Resident Evil 4,11-Jan-05,"['Capcom', 'Capcom Production Studio 4']",4.3,2.3K,2300,['Shooter'],14000,360,3K,1.2K,Capcom,Capcom,2005,Jan,AAA,Shooter,,,,,,,,,,,"['PS2', 'GC']"
385,Final Fantasy VII Remake,10-Apr-20,['Square Enix'],4.1,2K,2000,"['Adventure', 'RPG']",12000,898,4.2K,2.2K,Square Enix,Square Enix,2020,Apr,AAA,Adventure,RPG,,,,,,,,,,['PS4']
389,Dark Souls,22-Sep-11,"['FromSoftware', 'Bandai Namco Entertainment']",4.3,2.1K,2100,"['Adventure', 'RPG']",14000,447,2.5K,1.4K,From Software,Bandai Namco Entertainment,2011,Sep,AAA,Adventure,RPG,,,,,,,,,,"['PS3', 'X360']"
390,The Legend of Zelda: Ocarina of Time,21-Nov-98,"['Nintendo', 'Nintendo EAD']",4.3,2.2K,2200,"['Adventure', 'RPG']",17000,433,3K,1.4K,Nintendo EAD,Nintendo,1998,Nov,AAA,Adventure,RPG,,,,,,,,,,['N64']
